small_size,large_size,estimate,ci_low,ci_high,confidence,valid_bootstrap_fraction,status
6,8,0.5373626373626369,0.4984210292022794,0.5588513216231771,0.95,1.0,ok
8,10,0.537297297297299,0.49093074395930464,0.565001344086021,0.95,1.0,ok
