L,p,shots,sampled_error_mean,sampled_error_se,boundary_error_mean,boundary_error_se,mismatch_mean,mismatch_se,frustration_mean,frustration_se,largest_cluster_mean,largest_cluster_se,horizontal_spanning_mean,horizontal_spanning_se,vertical_spanning_mean,vertical_spanning_se
6,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
6,0.1,5000,0.0995571428571428,0.0004531017054361956,0.10132500000000003,0.0008686242628175457,0.09884999999999981,0.0005376119777879447,0.2932560000000007,0.0014935989623630812,0.08326111111111102,0.00037777332424644694,0.0,0.0,0.0002000000000000004,0.00019999999999999998
6,0.2,5000,0.200078571428571,0.0006101889879708109,0.20099999999999998,0.0011491217354219839,0.19970999999999983,0.0007297417474263898,0.4365760000000004,0.0014693478285988956,0.13868888888888894,0.0007679048357719381,0.006400000000000004,0.0011278574433333736,0.007799999999999985,0.001244243395934116
6,0.30000000000000004,5000,0.299338095238096,0.0007116523311104716,0.29998333333333443,0.0013333833215607726,0.29907999999999996,0.0008357786673226971,0.48676800000000053,0.0014052023889642338,0.22261666666666635,0.00134687277196848,0.054800000000000064,0.0032189228466769065,0.05799999999999991,0.0033059621711652117
6,0.4,5000,0.3999761904761905,0.0007465401766965671,0.39947500000000113,0.0014226744017056142,0.4001766666666682,0.0008934875983818339,0.5009280000000006,0.0014118478763964716,0.3623166666666667,0.0022063959218039816,0.26079999999999975,0.006210022936912181,0.2603999999999997,0.006206937506906519
6,0.5,5000,0.500311904761906,0.0007620984062387361,0.5002500000000004,0.0014276945853481653,0.500336666666664,0.0009080124849858251,0.500464,0.00143728149519128,0.5608388888888894,0.002779478263037464,0.5961999999999996,0.006939650117170868,0.5835999999999986,0.006972225640789116
6,0.6000000000000001,5000,0.6007190476190483,0.0007435271060567966,0.6021583333333331,0.001414953616975511,0.6001433333333357,0.0008857059378456264,0.49568799999999963,0.0014266998372766185,0.7760777777777793,0.002481954565284638,0.8657999999999993,0.004821070476990436,0.8641999999999977,0.004845241714657261
6,0.7000000000000001,5000,0.7006738095238092,0.0006966607462438115,0.6991249999999982,0.001320769424421087,0.7012933333333321,0.000826318351594235,0.4888719999999997,0.0014356704890575104,0.9264666666666681,0.0013617308876390424,0.9834000000000005,0.001807080825038448,0.9792000000000004,0.00201848627871766
6,0.8,5000,0.801885714285712,0.0006178523948941729,0.801699999999999,0.0011577617650808645,0.8019600000000006,0.0007251077717833295,0.43279999999999913,0.001479131355192359,0.9828277777777787,0.0005044797148276467,0.9989999999999971,0.000447034638471784,0.9990000000000002,0.00044703463847178436
6,0.9,5000,0.9001285714285718,0.00046535442842567576,0.9005833333333346,0.0008719076085852876,0.8999466666666673,0.0005537294555364119,0.295096,0.0014981986105371096,0.9978499999999995,0.000131369570062731,1.0,0.0,1.0,0.0
6,1.0,5000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0
8,0.1,5000,0.10038194444444472,0.0003483051254821685,0.10030625000000003,0.0007463392888990431,0.10040357142857148,0.00039744597670069934,0.29688571428571436,0.0010736059781238617,0.05577812499999989,0.000237927230041528,0.0,0.0,0.0,0.0
8,0.2,5000,0.1998694444444448,0.00046180240965668226,0.2001187500000001,0.00100414940641001,0.19979821428571393,0.0005237596250222526,0.43396326530612334,0.0010500766854514008,0.09618124999999998,0.000489337953273607,0.0006000000000000007,0.00034634085868993225,0.0006000000000000005,0.0003463408586899322
8,0.30000000000000004,5000,0.30097638888888906,0.0005402996011819399,0.30120624999999923,0.0011546572874137928,0.3009107142857139,0.000603695143089331,0.4875387755102043,0.0010057061737358335,0.16948437499999974,0.0010212647033779974,0.022200000000000025,0.0020838187205445688,0.020200000000000044,0.0019897697949178314
8,0.4,5000,0.39965972222222207,0.000573537290144883,0.4009937500000006,0.0012165383975946138,0.3992785714285721,0.0006509567479587664,0.4998734693877544,0.001016844558120401,0.30019062499999993,0.0018340229196525388,0.16859999999999983,0.005295320205919257,0.16619999999999993,0.005265078936848176
8,0.5,5000,0.5010152777777769,0.0005841982881335912,0.49974999999999914,0.0012531167385012726,0.5013767857142858,0.0006593600495837152,0.49809387755102075,0.0010210846637480856,0.5400062500000014,0.0026886948847394607,0.5758000000000003,0.006990038921839109,0.5738000000000001,0.00699431884454947
8,0.6000000000000001,5000,0.6001736111111111,0.0005770501546148335,0.5995249999999988,0.0012242491095265037,0.6003589285714296,0.0006493299244163929,0.49914285714285583,0.0010320637763116475,0.7951468749999991,0.0022547734923650847,0.8999999999999989,0.004243065014838215,0.900799999999999,0.004227936504894306
