small_size,large_size,estimate,ci_low,ci_high,confidence,valid_bootstrap_fraction,status
1,3,0.07777027027027028,0.07485457516339869,0.09048091976516633,0.95,1.0,ok
3,5,0.022203389830508475,0.020185925925925927,0.029982758620689633,0.95,0.83,ok
