small_distance,large_distance,estimate,ci_low,ci_high,confidence,valid_bootstrap_fraction,status
7,9,0.09643162393162394,0.09243304355461887,0.10042003156994322,0.95,0.9475,ok
9,11,0.09801038062283737,0.09408116883116888,0.10153452967365759,0.95,0.9335,ok
11,13,0.0973605577689243,0.09473929505195185,0.10013972022017084,0.95,0.96,ok
13,15,,,,0.95,0.0,unstable
