d,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches,diagnostic_only,seed
7,0.0,100000,0,0.0,0.0,100,false,1234
7,0.005,100000,0,0.0,0.0,100,false,1234
7,0.01,100000,1,1.0e-5,9.999949999874999e-6,100,false,1234
7,0.015,100000,12,0.00012,3.4638937628050894e-5,100,false,1234
7,0.02,100000,28,0.00028,5.290761759898096e-5,100,false,1234
7,0.025,100000,67,0.00067,8.182610219239335e-5,100,false,1234
7,0.03,100000,144,0.00144,0.00011991356887358495,100,false,1234
7,0.035,100000,262,0.00262,0.0001616519594684828,100,false,1234
7,0.04,100000,475,0.00475,0.00021742671179043297,100,false,1234
7,0.045,100000,805,0.00805,0.0002825809176147604,100,false,1234
7,0.05,100000,1104,0.01104,0.00033042576170752786,100,false,1234
7,0.055,100000,1589,0.01589,0.0003954428896819363,100,false,1234
7,0.06,100000,2204,0.02204,0.00046426542408411163,100,false,1234
7,0.065,100000,2867,0.02867,0.0005277123373581482,100,false,1234
7,0.07,100000,3778,0.03778,0.0006029317672838279,100,false,1234
7,0.075,100000,4789,0.04789,0.0006752521595670761,100,false,1234
7,0.08,100000,5975,0.05975,0.0007495327711314562,100,false,1234
7,0.085,100000,7237,0.07237,0.0008193447571077757,100,false,1234
7,0.09,100000,8476,0.08476,0.0008807709259506697,100,false,1234
7,0.095,100000,10007,0.10007,0.000948978372250917,100,false,1234
7,0.1,100000,11571,0.11571,0.0010115394006167035,100,false,1234
7,0.105,100000,13092,0.13092,0.001066676865784573,100,false,1234
7,0.11,100000,14945,0.14945,0.0011274515399785482,100,false,1234
7,0.115,100000,16448,0.16448,0.0011722897662267636,100,false,1234
7,0.12,100000,18504,0.18504,0.0012280073224537386,100,false,1234
7,0.125,100000,20323,0.20323,0.0012725076310183762,100,false,1234
7,0.13,100000,22167,0.22167,0.0013135159348100806,100,false,1234
7,0.135,100000,23951,0.23951,0.0013496109065208386,100,false,1234
7,0.14,100000,25942,0.25942,0.0013860781493119354,100,false,1234
7,0.145,100000,27397,0.27397,0.001410356122048612,100,false,1234
7,0.15,100000,29184,0.29184,0.0014376001335559203,100,false,1234
7,0.155,100000,30760,0.3076,0.0014593911059068436,100,false,1234
7,0.16,100000,32398,0.32398,0.0014799221587637641,100,false,1234
9,0.0,100000,0,0.0,0.0,100,false,1234
9,0.005,100000,0,0.0,0.0,100,false,1234
9,0.01,100000,0,0.0,0.0,100,false,1234
9,0.015,100000,0,0.0,0.0,100,false,1234
9,0.02,100000,4,4.0e-5,1.9999599995999918e-5,100,false,1234
9,0.025,100000,17,0.00017,4.122755146743498e-5,100,false,1234
9,0.03,100000,53,0.00053,7.278180404469238e-5,100,false,1234
