d,p,batch,batch_shots,failure_count,failure_rate
7,0.005,64,1000,0,0.0
7,0.005,65,1000,0,0.0
7,0.005,66,1000,0,0.0
7,0.005,67,1000,0,0.0
7,0.005,68,1000,0,0.0
7,0.005,69,1000,0,0.0
7,0.005,70,1000,0,0.0
7,0.005,71,1000,0,0.0
7,0.005,72,1000,0,0.0
7,0.005,73,1000,0,0.0
7,0.005,74,1000,0,0.0
7,0.005,75,1000,0,0.0
7,0.005,76,1000,0,0.0
7,0.005,77,1000,0,0.0
7,0.005,78,1000,0,0.0
7,0.005,79,1000,0,0.0
7,0.005,80,1000,0,0.0
7,0.005,81,1000,0,0.0
7,0.005,82,1000,0,0.0
7,0.005,83,1000,0,0.0
7,0.005,84,1000,0,0.0
7,0.005,85,1000,0,0.0
7,0.005,86,1000,0,0.0
7,0.005,87,1000,0,0.0
7,0.005,88,1000,0,0.0
7,0.005,89,1000,0,0.0
7,0.005,90,1000,0,0.0
7,0.005,91,1000,0,0.0
7,0.005,92,1000,0,0.0
7,0.005,93,1000,0,0.0
7,0.005,94,1000,0,0.0
7,0.005,95,1000,0,0.0
7,0.005,96,1000,0,0.0
7,0.005,97,1000,0,0.0
7,0.005,98,1000,0,0.0
7,0.005,99,1000,0,0.0
7,0.005,100,1000,0,0.0
7,0.01,1,1000,0,0.0
7,0.01,2,1000,0,0.0
7,0.01,3,1000,0,0.0
7,0.01,4,1000,0,0.0
7,0.01,5,1000,0,0.0
7,0.01,6,1000,0,0.0
7,0.01,7,1000,0,0.0
7,0.01,8,1000,0,0.0
7,0.01,9,1000,0,0.0
7,0.01,10,1000,0,0.0
7,0.01,11,1000,0,0.0
7,0.01,12,1000,0,0.0
7,0.01,13,1000,0,0.0
7,0.01,14,1000,0,0.0
7,0.01,15,1000,0,0.0
7,0.01,16,1000,0,0.0
7,0.01,17,1000,0,0.0
7,0.01,18,1000,0,0.0
7,0.01,19,1000,0,0.0
7,0.01,20,1000,0,0.0
7,0.01,21,1000,0,0.0
7,0.01,22,1000,0,0.0
7,0.01,23,1000,0,0.0
7,0.01,24,1000,0,0.0
7,0.01,25,1000,0,0.0
7,0.01,26,1000,0,0.0
7,0.01,27,1000,0,0.0
7,0.01,28,1000,0,0.0
7,0.01,29,1000,0,0.0
7,0.01,30,1000,0,0.0
7,0.01,31,1000,0,0.0
7,0.01,32,1000,0,0.0
7,0.01,33,1000,0,0.0
7,0.01,34,1000,0,0.0
7,0.01,35,1000,0,0.0
7,0.01,36,1000,0,0.0
7,0.01,37,1000,0,0.0
7,0.01,38,1000,0,0.0
7,0.01,39,1000,0,0.0
7,0.01,40,1000,0,0.0
7,0.01,41,1000,0,0.0
7,0.01,42,1000,0,0.0
7,0.01,43,1000,0,0.0
7,0.01,44,1000,0,0.0
7,0.01,45,1000,0,0.0
7,0.01,46,1000,0,0.0
7,0.01,47,1000,0,0.0
7,0.01,48,1000,0,0.0
7,0.01,49,1000,0,0.0
7,0.01,50,1000,0,0.0
7,0.01,51,1000,0,0.0
7,0.01,52,1000,0,0.0
7,0.01,53,1000,0,0.0
7,0.01,54,1000,0,0.0
7,0.01,55,1000,0,0.0
7,0.01,56,1000,0,0.0
7,0.01,57,1000,0,0.0
7,0.01,58,1000,0,0.0
7,0.01,59,1000,0,0.0
7,0.01,60,1000,0,0.0
7,0.01,61,1000,0,0.0
7,0.01,62,1000,0,0.0
7,0.01,63,1000,0,0.0
7,0.01,64,1000,0,0.0
7,0.01,65,1000,0,0.0
7,0.01,66,1000,0,0.0
7,0.01,67,1000,0,0.0
7,0.01,68,1000,0,0.0
7,0.01,69,1000,0,0.0
7,0.01,70,1000,0,0.0
7,0.01,71,1000,0,0.0
7,0.01,72,1000,0,0.0
7,0.01,73,1000,0,0.0
7,0.01,74,1000,0,0.0
7,0.01,75,1000,0,0.0
7,0.01,76,1000,0,0.0
7,0.01,77,1000,0,0.0
7,0.01,78,1000,0,0.0
7,0.01,79,1000,0,0.0
7,0.01,80,1000,0,0.0
7,0.01,81,1000,0,0.0
7,0.01,82,1000,0,0.0
7,0.01,83,1000,0,0.0
7,0.01,84,1000,0,0.0
7,0.01,85,1000,0,0.0
7,0.01,86,1000,0,0.0
7,0.01,87,1000,0,0.0
7,0.01,88,1000,0,0.0
7,0.01,89,1000,0,0.0
7,0.01,90,1000,0,0.0
7,0.01,91,1000,1,0.001
7,0.01,92,1000,0,0.0
7,0.01,93,1000,0,0.0
7,0.01,94,1000,0,0.0
7,0.01,95,1000,0,0.0
7,0.01,96,1000,0,0.0
7,0.01,97,1000,0,0.0
7,0.01,98,1000,0,0.0
7,0.01,99,1000,0,0.0
7,0.01,100,1000,0,0.0
7,0.015,1,1000,1,0.001
7,0.015,2,1000,0,0.0
7,0.015,3,1000,0,0.0
