replicate,status,input_rms_shift,initial_p_c,initial_nu,p_c,nu,loss,converged,evaluations,boundary_hit
1,ok,0.001213647191803625,0.1,1.25,0.09768471636351686,1.284560840290716,42.463175406057,true,71,false
2,ok,0.0011863154911086892,0.1,1.25,0.09786203014255007,1.2932771013584015,40.50255630019096,true,71,false
3,ok,0.0013471130539961663,0.1,1.25,0.09757437103861073,1.2991846312216713,39.02543171433709,true,67,false
4,ok,0.001220051607894466,0.1,1.25,0.098055232427043,1.2776260712413643,38.50288435311862,true,71,false
5,ok,0.0012737952429600454,0.1,1.25,0.09760831534714287,1.2886411323916487,36.801248715218506,true,73,false
6,ok,0.0012689185635759463,0.1,1.25,0.09760637489662516,1.2878866997539768,32.39733626610081,true,72,false
7,ok,0.0010252172308200754,0.1,1.25,0.09766491449368347,1.294329426756059,37.75330443597287,true,70,false
8,ok,0.0014149331441694135,0.1,1.25,0.09766104558118532,1.2935634100045887,37.61915428917053,true,73,false
9,ok,0.001061538017671977,0.1,1.25,0.09803647074552385,1.281748969516165,35.86616822887339,true,77,false
10,ok,0.0012272306473228248,0.1,1.25,0.09760013464103523,1.291424115414158,33.1648052245446,true,66,false
11,ok,0.0013062608024244577,0.1,1.25,0.09764392869209969,1.281409172895928,29.6568534991404,true,68,false
12,ok,0.0013428833912403392,0.1,1.25,0.09793869351553738,1.271263954763609,39.892527422533256,true,72,false
13,ok,0.0012693645732227883,0.1,1.25,0.09762190625586203,1.287088100548831,40.72640100431042,true,74,false
14,ok,0.0011373784021290426,0.1,1.25,0.09756237054718153,1.2979296047511046,33.052987039964115,true,70,false
15,ok,0.0013449608741842364,0.1,1.25,0.09788765517789538,1.2856556364261005,35.32697209845828,true,75,false
16,ok,0.0012152193319279368,0.1,1.25,0.0977668810237499,1.2978089884272799,34.74555050198394,true,73,false
17,ok,0.0013742719733699578,0.1,1.25,0.09807328977113948,1.288094369067589,38.38959935472585,true,70,false
18,ok,0.001071615833135712,0.1,1.25,0.09777046284957253,1.2878551595000263,34.21679848344538,true,71,false
19,ok,0.0013442075089659586,0.1,1.25,0.09780930457409485,1.2776942938837674,42.42016671212214,true,74,false
20,ok,0.0012407290767832075,0.1,1.25,0.09774364441590849,1.2833109712451833,38.46140634556608,true,70,false
21,ok,0.001242364829818673,0.1,1.25,0.09766162047225599,1.297733337638244,35.00098850872349,true,71,false
22,ok,0.0011701070965018379,0.1,1.25,0.09766463777960624,1.2794120830355262,38.58546264506908,true,74,false
23,ok,0.001319962120668614,0.1,1.25,0.09761839329739846,1.2935193690107265,44.835768469391404,true,70,false
24,ok,0.0010603307194304626,0.1,1.25,0.09772568032896771,1.288594200395054,35.42109186940949,true,71,false
25,ok,0.001176201775752759,0.1,1.25,0.0978124985788216,1.2683052302291307,32.76373522660015,true,72,false
26,ok,0.00107000346139973,0.1,1.25,0.09761010647618748,1.2846133885213564,35.624556915242366,true,72,false
27,ok,0.0011555710469047047,0.1,1.25,0.09781037361625997,1.2896972102290678,34.66503959218328,true,72,false
28,ok,0.0012429499955179156,0.1,1.25,0.09775007378178993,1.2807006342183906,38.38291480009455,true,76,false
29,ok,0.0013208162459462294,0.1,1.25,0.09765703766993555,1.294857822160697,42.696725548613045,true,70,false
30,ok,0.001125055279848976,0.1,1.25,0.09753661635537864,1.2854031698954203,32.009593919568665,true,70,false
31,ok,0.001167602799027244,0.1,1.25,0.09757051145616957,1.2959078146857224,38.06294391249382,true,74,false
32,ok,0.0012196260305195967,0.1,1.25,0.09790848164393559,1.2689564169933853,39.59558634582144,true,70,false
33,ok,0.0013627500336895848,0.1,1.25,0.09789438786031796,1.2639934220827178,45.43584208855279,true,74,false
34,ok,0.0013431086109249484,0.1,1.25,0.09752300231264775,1.295553220346981,41.05489397394279,true,72,false
35,ok,0.0010427811815489404,0.1,1.25,0.09768122353218824,1.2736722655340862,30.2548248620421,true,72,false
36,ok,0.001102027312515822,0.1,1.25,0.09770694472747499,1.2818295901253098,32.80210510922733,true,71,false
37,ok,0.0012014286762840104,0.1,1.25,0.09810629171233662,1.2741246844030136,35.93884101590262,true,74,false
38,ok,0.0013098567445938613,0.1,1.25,0.09803278840385118,1.2752870367806997,37.03957088251817,true,69,false
39,ok,0.0010185950139624171,0.1,1.25,0.09761114098827443,1.2958701303897275,30.452206625233202,true,72,false
40,ok,0.0010284334245063969,0.1,1.25,0.09761939622599788,1.2901544073387188,35.70400792604426,true,72,false
41,ok,0.0012629775713285626,0.1,1.25,0.09757506127154243,1.301527114887343,34.6343691206908,true,70,false
42,ok,0.001310596885976329,0.1,1.25,0.09779762624341243,1.2959640897501035,39.42209618353212,true,67,false
43,ok,0.0012192737162186925,0.1,1.25,0.09780958966995704,1.2914978920621842,32.70070682557778,true,69,false
44,ok,0.0011707099249579631,0.1,1.25,0.09744142701022687,1.285356915843666,40.925491376287965,true,70,false
45,ok,0.0012602591346305635,0.1,1.25,0.0975500012238746,1.2846822409100422,31.719606359694186,true,67,false
46,ok,0.0012316159213723098,0.1,1.25,0.09785839259401627,1.2793154594858631,37.490319229316455,true,71,false
47,ok,0.0013507071764609889,0.1,1.25,0.09806456383487223,1.2778543050079638,42.96384968722035,true,69,false
48,ok,0.0012322302374251017,0.1,1.25,0.09766115537006637,1.2886142923157888,34.03698357806209,true,69,false
49,ok,0.0013973979346107212,0.1,1.25,0.09774032021073743,1.2909365892463314,35.97946230794028,true,78,false
50,ok,0.0011504706497991797,0.1,1.25,0.0977965976039465,1.3006274870696581,37.43283788722206,true,70,false
51,ok,0.0015067055878289729,0.1,1.25,0.09754715883140105,1.2858101467530532,43.66888115811612,true,69,false
52,ok,0.0012754437620387125,0.1,1.25,0.09777555298451415,1.2896880055810287,34.13224989724362,true,73,false
53,ok,0.0012557123795865412,0.1,1.25,0.09778254300834006,1.282636394228242,38.67235372168889,true,68,false
54,ok,0.0012307565674799608,0.1,1.25,0.09741580759039181,1.2833999942019707,39.19518539777499,true,73,false
55,ok,0.001350604802795144,0.1,1.25,0.09796640625899,1.2823702210011994,35.63381208478834,true,77,false
56,ok,0.001109819248991505,0.1,1.25,0.09767053358632413,1.2903278221099397,32.76328491269865,true,73,false
57,ok,0.001409425064466254,0.1,1.25,0.0981021890800693,1.2674092447644063,47.938811309975705,true,70,false
58,ok,0.0013363678432024729,0.1,1.25,0.09800395038605622,1.2813100582306536,36.051711472057534,true,74,false
59,ok,0.001098124101916473,0.1,1.25,0.09757306132651543,1.295032916560236,34.96192960359673,true,75,false
60,ok,0.0012375104439015583,0.1,1.25,0.09777024186128322,1.3056705117798193,33.98134011017067,true,70,false
61,ok,0.0012638501825574995,0.1,1.25,0.09756357170039565,1.2740918810654196,39.41377810619273,true,73,false
62,ok,0.001078212398049948,0.1,1.25,0.09773623409768643,1.2869918242076372,33.071283662157576,true,70,false
63,ok,0.001333761968139103,0.1,1.25,0.09757784620095795,1.2900262571978478,41.66261299405839,true,64,false
64,ok,0.001248524066920211,0.1,1.25,0.09768199729616403,1.2816869739912498,39.17951255282701,true,73,false
65,ok,0.0012091171148945247,0.1,1.25,0.09771808223390482,1.2992064540052848,32.749241729138284,true,68,false
66,ok,0.001263254663826352,0.1,1.25,0.09757413946930155,1.2870409599994153,37.43317339624619,true,70,false
67,ok,0.0012943929412739146,0.1,1.25,0.0974868734219581,1.3001338888988165,41.7214218406059,true,73,false
68,ok,0.0011673363157522524,0.1,1.25,0.09771369932029635,1.2979429838139072,37.390885622385,true,71,false
69,ok,0.0013093561701259635,0.1,1.25,0.09787401450187697,1.2744644288259832,36.93657292053062,true,72,false
70,ok,0.0015396091375073971,0.1,1.25,0.09743418710182218,1.306111305517685,42.03678050101136,true,73,false
71,ok,0.0014427575620027124,0.1,1.25,0.0977501314383992,1.2856036318714288,42.62281288604105,true,70,false
72,ok,0.0011828595817439456,0.1,1.25,0.09782602584958429,1.2817389890275288,42.07764652905481,true,71,false
73,ok,0.0011594091726520113,0.1,1.25,0.0973506950572154,1.31794536727493,40.747710911889854,true,68,false
74,ok,0.0010805645529473951,0.1,1.25,0.0978940705145234,1.2765812284124956,30.890261440579916,true,71,false
75,ok,0.0013465300627451922,0.1,1.25,0.09771626962856086,1.2901785804602057,41.84911097124629,true,71,false
76,ok,0.0011373897993016858,0.1,1.25,0.09763826519693436,1.2903450072864324,36.89365870778236,true,70,false
77,ok,0.0012681837893053262,0.1,1.25,0.09779761539862118,1.2870790762917401,36.50209315962315,true,75,false
78,ok,0.0011072611076407548,0.1,1.25,0.09758647577690913,1.2938508199651808,33.22056048989085,true,71,false
79,ok,0.001454009781412913,0.1,1.25,0.09771410627636098,1.2823748803845318,41.962500206081714,true,71,false
80,ok,0.0012883116523497802,0.1,1.25,0.09772320103184964,1.2828083128842966,38.879647828626354,true,73,false
81,ok,0.0011671914163791594,0.1,1.25,0.0977918367380823,1.2922990230249705,33.82259358258301,true,74,false
82,ok,0.0013174807609811728,0.1,1.25,0.09785428893860634,1.2806261118502655,39.28567122514045,true,72,false
83,ok,0.001079589542486817,0.1,1.25,0.0976854884739938,1.2830429874352172,35.0314964094739,true,75,false
84,ok,0.0012403205479747444,0.1,1.25,0.09744602602870865,1.285697616556457,36.47390681945101,true,72,false
85,ok,0.0013223216582591406,0.1,1.25,0.09775943273757311,1.2774534526471661,39.357695491992146,true,74,false
86,ok,0.0010313050583880565,0.1,1.25,0.09761602758633403,1.2854455336906445,34.5533195874464,true,68,false
87,ok,0.001194311620521877,0.1,1.25,0.097808850542835,1.2868031026921667,31.291466966488098,true,72,false
88,ok,0.0012424006033720702,0.1,1.25,0.09777705887350371,1.2889201138001567,41.76039632447614,true,71,false
89,ok,0.001334601711521089,0.1,1.25,0.09795726536019539,1.297360159482971,30.34174965241954,true,65,false
90,ok,0.0009168121096737516,0.1,1.25,0.09765394644521755,1.2907508484141161,34.24212200269969,true,70,false
91,ok,0.0012332112051644797,0.1,1.25,0.09796952160257734,1.278755772193935,35.676403925669185,true,71,false
92,ok,0.0011499447114997194,0.1,1.25,0.09735744725295334,1.298840224121948,38.62788309220051,true,66,false
93,ok,0.00113240920928964,0.1,1.25,0.09743386010776633,1.3029416036250918,31.55425167250469,true,71,false
94,ok,0.0011805543790843803,0.1,1.25,0.09752799253250483,1.3002950133938065,28.48693873394821,true,74,false
95,ok,0.0013086068362391527,0.1,1.25,0.09720718383004666,1.3042229650527397,39.99999117542549,true,74,false
96,ok,0.0013428562704038607,0.1,1.25,0.09750866791522797,1.3009376776476294,37.12765510951091,true,73,false
97,ok,0.0012350793446796375,0.1,1.25,0.09765831681830395,1.292846568442488,40.419411238924866,true,71,false
98,ok,0.0011762023005639107,0.1,1.25,0.09761033956964871,1.2995217840546747,28.616123622360313,true,70,false
99,ok,0.001232903328442241,0.1,1.25,0.09758671359484103,1.2969280627752782,30.299115836436282,true,72,false
100,ok,0.0011301769772915945,0.1,1.25,0.09794173459517304,1.2648695925631674,26.957499252476666,true,65,false
101,ok,0.0012769528738271084,0.1,1.25,0.09746777471775556,1.3101019234451534,46.96029404891349,true,71,false
102,ok,0.001170403539145546,0.1,1.25,0.09767003236104556,1.2850670879322124,37.19040591850365,true,71,false
103,ok,0.0011937517371197839,0.1,1.25,0.09762117537259613,1.2826532205372958,41.33791412206168,true,71,false
104,ok,0.0012970869546415436,0.1,1.25,0.09777281976481123,1.2951695974767234,31.742562194774305,true,70,false
105,ok,0.0012295286660914965,0.1,1.25,0.09771308916850183,1.2762481781804091,34.92374446876383,true,69,false
106,ok,0.0012201831475562312,0.1,1.25,0.09743213849712845,1.304895102864115,40.006388759616335,true,71,false
107,ok,0.0012458499007940867,0.1,1.25,0.09782938275211514,1.2843210988991056,33.48883697060454,true,72,false
108,ok,0.0013981208729250305,0.1,1.25,0.09779240837498955,1.270663469944091,44.34278803855165,true,74,false
109,ok,0.0011673421325048392,0.1,1.25,0.09742810043096783,1.2906908209811963,36.87360296304621,true,77,false
110,ok,0.0012668986142408665,0.1,1.25,0.09800204610612517,1.2692943027243555,36.92863232482503,true,76,false
111,ok,0.0013797154832844362,0.1,1.25,0.09813254433069872,1.2671278442770955,35.27337089816403,true,72,false
112,ok,0.001313846017623327,0.1,1.25,0.09707772794912897,1.285695494737845,40.15934377490951,true,70,false
113,ok,0.0012514954018056652,0.1,1.25,0.09758904628033462,1.2879196371805648,38.52337698626192,true,71,false
114,ok,0.0012893964517853062,0.1,1.25,0.09738496977675193,1.310242491518308,35.31235743147744,true,73,false
115,ok,0.0013412505680967092,0.1,1.25,0.09743007394318833,1.293021027355624,35.37526359372217,true,77,false
116,ok,0.001235952174551164,0.1,1.25,0.09769704138272912,1.2848068047445063,28.862391393212597,true,70,false
117,ok,0.0012499185158626489,0.1,1.25,0.09780597386386372,1.3034978772615506,38.587003247896284,true,69,false
