label,status,p_c,nu,loss,failure_window_low,failure_window_high,distances,boundary_hit
"baseline",ok,0.09767943526405606,1.2893242586843072,26.222696516444987,0.05,0.45,7;9;11;13;15,false
"drop d=7",ok,0.09867401765251635,1.2801942953972008,19.57190700832606,0.05,0.45,9;11;13;15,false
"drop d=9",ok,0.09752645771693334,1.29065947931685,20.127094436000966,0.05,0.45,7;11;13;15,false
"drop d=11",ok,0.09768291329071499,1.2932134681290453,17.926432952374988,0.05,0.45,7;9;13;15,false
"drop d=13",ok,0.09777257508438034,1.2857020539302415,22.708210542298907,0.05,0.45,7;9;11;15,false
"drop d=15",ok,0.09718392897389133,1.2802405716125833,16.48919816304756,0.05,0.45,7;9;11;13,false
"window 0.05-0.35",ok,0.09788286450677862,1.2680143605888337,12.899710931828203,0.05,0.35,7;9;11;13;15,false
"window 0.10-0.45",ok,0.09811452592083446,1.266690594948692,16.20627174966041,0.1,0.45,7;9;11;13;15,false
