stage,channel,distance,p,shots,root_seed,n00,n10,n01,n11,construction,boundary_orientation,clock,logical_x_failures,logical_x_rate,logical_x_standard_error,logical_x_wilson_low,logical_x_wilson_high,logical_z_failures,logical_z_rate,logical_z_standard_error,logical_z_wilson_low,logical_z_wilson_high,any_logical_failures
pilot,y_only,15,0.055,2000,20260923,644,361,608,387,bp,x_ns,gate_layer,748,0.374,0.010819519397829092,0.35305463871866954,0.39542845719620606,995,0.4975,0.011180200132376878,0.4756130164970905,0.5193965687393156,1356
pilot,y_only,15,0.06,2000,20260923,616,446,554,384,bp,x_ns,gate_layer,830,0.415,0.011017599557072311,0.39358894368635533,0.43673695435145754,938,0.469,0.011158830583891844,0.44720941543097464,0.49090944150046284,1384
pilot,y_only,15,0.065,2000,20260923,580,437,558,425,bp,x_ns,gate_layer,862,0.431,0.011073368954387819,0.40944928165334044,0.4528152708714724,983,0.4915,0.01117872421164419,0.46962740321749985,0.5134051865862813,1420
pilot,y_only,15,0.07,2000,20260923,560,434,562,444,bp,x_ns,gate_layer,878,0.439,0.011096823869918815,0.41738810737257864,0.46084577239573415,1006,0.503,0.011180138639569724,0.4811025929143192,0.5248859048019933,1440
pilot,y_only,15,0.075,2000,20260923,508,481,529,482,bp,x_ns,gate_layer,963,0.4815,0.01117268432383194,0.45965837761892475,0.5034125531304815,1011,0.5055,0.011179663456473097,0.48359872896094624,0.5273801835189598,1492
pilot,y_only,15,0.08,2000,20260923,551,477,500,472,bp,x_ns,gate_layer,949,0.4745,0.011165790388503629,0.45268526995346203,0.4964124994578817,972,0.486,0.011175956334918278,0.46414335632114256,0.5079103210027324,1449
pilot,y_only,15,0.085,2000,20260923,514,513,481,492,bp,x_ns,gate_layer,1005,0.5025,0.01118020013237688,0.48060343126068417,0.5243869835029094,973,0.4865,0.011176263910627739,0.4646417966932955,0.5084099635832983,1486
pilot,y_only,15,0.09,2000,20260923,498,485,547,470,bp,x_ns,gate_layer,955,0.4775,0.011169014056755413,0.45567321871188077,0.49941304841577544,1017,0.5085,0.01117872421164419,0.4865948134137185,0.5303725967825,1502
pilot,y_only,15,0.095,2000,20260923,501,463,518,518,bp,x_ns,gate_layer,981,0.4905,0.011178321653987239,0.46863010699531177,0.5124063169030318,1036,0.518,0.011173092678394824,0.4960876073343329,0.5398433789635421,1499
pilot,y_only,15,0.1,2000,20260923,489,495,526,490,bp,x_ns,gate_layer,985,0.4925,0.011179082028503056,0.47062478687792897,0.5144039688312897,1016,0.508,0.011178908712392278,0.48609541136198264,0.5298739158815173,1511
production,hadamard,9,0.046,50000,20260923,29211,1232,18725,832,bp,x_ns,gate_layer,2064,0.04128,0.0008896736660146798,0.03957122293221097,0.043059257812420614,19557,0.39114,0.0021824275493129205,0.38687103971862513,0.3954256862446216,20789
production,hadamard,9,0.048,50000,20260923,28852,1390,18887,871,bp,x_ns,gate_layer,2261,0.04522,0.0009292486384170816,0.04343337869980839,0.04707649667742294,19758,0.39516,0.0021863603289485473,0.3908830236850165,0.3994530846191061,21148
production,hadamard,9,0.05,50000,20260923,28363,1578,19008,1051,bp,x_ns,gate_layer,2629,0.05258,0.0009981517279452057,0.050657804036184174,0.05457094050245174,20059,0.40118,0.002191960800744393,0.39689158576902817,0.40548359758287367,21637
production,hadamard,9,0.052,50000,20260923,28254,1660,18954,1132,bp,x_ns,gate_layer,2792,0.05584,0.0010268582609104335,0.053861304683747904,0.057886938967140575,20086,0.40172,0.002192446312227508,0.39743059281057014,0.40602450757219577,21746
production,hadamard,9,0.054,50000,20260923,28059,1848,18817,1276,bp,x_ns,gate_layer,3124,0.06248,0.0010823700808873093,0.060392020563885,0.06463520287392281,20093,0.40186,0.0021925717338322137,0.3975703362621892,0.40616474261005986,21941
production,hadamard,9,0.056,50000,20260923,27343,2123,19012,1522,bp,x_ns,gate_layer,3645,0.0729,0.0011626314119272713,0.07065394683543484,0.07521167560533983,20534,0.41068,0.002200099714103886,0.40637490583160135,0.41499881787809184,22657
production,hadamard,9,0.058,50000,20260923,27228,2271,18936,1565,bp,x_ns,gate_layer,3836,0.07672,0.0011902440220391782,0.07441954531649658,0.07908549019446359,20501,0.41002,0.0021995617727174656,0.40571601075786523,0.41433781435854977,22772
production,hadamard,9,0.06,50000,20260923,26711,2553,18993,1743,bp,x_ns,gate_layer,4296,0.08592,0.0012532976789254818,0.08349528104787857,0.08840834091483735,20736,0.41472,0.002203303526979431,0.41040831683889967,0.4190447861387384,23289
production,hadamard,9,0.062,50000,20260923,26275,2731,19037,1957,bp,x_ns,gate_layer,4688,0.09376,0.001303603178885354,0.09123610094811595,0.09634631642566137,20994,0.41988,0.0022071736932103916,0.4155603359266656,0.42421197423478324,23725
production,hadamard,9,0.064,50000,20260923,26199,2894,18805,2102,bp,x_ns,gate_layer,4996,0.09992,0.0013411636261098047,0.09732202433406481,0.10257944657697504,20907,0.41814,0.0022058963729060348,0.41382297280987956,0.42246960469656336,23801
production,hadamard,9,0.066,50000,20260923,25715,3099,18924,2262,bp,x_ns,gate_layer,5361,0.10722,0.0013836464259340245,0.10453821377949507,0.10996213551174225,21186,0.42372,0.002209893036325514,0.4193947117300307,0.4280570084286727,24285
production,hadamard,11,0.046,50000,20260923,27942,1063,20228,767,bp,x_ns,gate_layer,1830,0.0366,0.0008397671105729255,0.034989364866780934,0.03828183494369665,20995,0.4199,0.0022071882112769635,0.4155803059386203,0.4242320011498977,22058
production,hadamard,11,0.048,50000,20260923,27465,1193,20417,925,bp,x_ns,gate_layer,2118,0.04236,0.0009007289314771676,0.04062947889674592,0.044160835909613526,21342,0.42684,0.002212001873416928,0.42251033927657966,0.4311809015048931,22535
production,hadamard,11,0.05,50000,20260923,27025,1368,20516,1091,bp,x_ns,gate_layer,2459,0.04918,0.0009670711204456475,0.04731896531005949,0.05111030162684061,21607,0.43214,0.0022153781636551355,0.42780331547366485,0.4364871109811021,22975
production,hadamard,11,0.052,50000,20260923,26774,1593,20417,1216,bp,x_ns,gate_layer,2809,0.05618,0.001029794227989262,0.054195525661018776,0.058232665750043294,21633,0.43266,0.0022156954862976998,0.428322653656724,0.43700769290183766,23226
production,hadamard,11,0.054,50000,20260923,26425,1831,20356,1388,bp,x_ns,gate_layer,3219,0.06438,0.0010975902295483502,0.06226205076961892,0.06656488073974719,21744,0.43488,0.0022170222624051388,0.43053988297710843,0.43923012248611604,23575
production,hadamard,11,0.056,50000,20260923,26189,1990,20260,1561,bp,x_ns,gate_layer,3551,0.07102,0.0011487050065182097,0.06880138049489341,0.07330453080139203,21821,0.43642,0.0022179160651386244,0.43207801305109983,0.44077175579644035,23811
production,hadamard,11,0.058,50000,20260923,25788,2213,20232,1767,bp,x_ns,gate_layer,3980,0.0796,0.001210486183316439,0.07725965849383133,0.08200493451506978,21999,0.43998,0.002219899095004095,0.4356338533433163,0.444335368522512,24212
production,hadamard,11,0.06,50000,20260923,25439,2429,20197,1935,bp,x_ns,gate_layer,4364,0.08728,0.0012622377081992124,0.084837657905828,0.08978575509758221,22132,0.44264,0.0022213051586848667,0.43829089347827443,0.4469979196877353,24561
production,hadamard,11,0.062,50000,20260923,24856,2812,20179,2153,bp,x_ns,gate_layer,4965,0.0993,0.0013374566161188182,0.09670933623458992,0.10195222993730986,22332,0.44664,0.0022232980474961067,0.44228668064684484,0.4510015179329717,25144
production,hadamard,11,0.064,50000,20260923,24932,2916,19801,2351,bp,x_ns,gate_layer,5267,0.10534,0.001372905564123039,0.10267940616422008,0.10806123198252804,22152,0.44304,0.0022215110101010075,0.4386904593343001,0.4473982923730903,25068
production,hadamard,11,0.066,50000,20260923,24204,3099,20125,2572,bp,x_ns,gate_layer,5671,0.11342,0.0014181389466480356,0.1106701451864687,0.11622925149616925,22697,0.45394,0.0022265600211986204,0.4495797272251562,0.4583073497348579,25796
production,hadamard,13,0.046,50000,20260923,26599,940,21705,756,bp,x_ns,gate_layer,1696,0.03392,0.0008095607895643168,0.03236875278816899,0.035542858795058016,22461,0.44922,0.0022245061995867757,0.44486411478207327,0.45358368738964877,23401
production,hadamard,13,0.048,50000,20260923,26432,1126,21557,885,bp,x_ns,gate_layer,2011,0.04022,0.0008786620692848872,0.038532879739337736,0.04197776387063504,22442,0.44884,0.0022243320543480012,0.4444844852538449,0.4532033753035656,23568
production,hadamard,13,0.05,50000,20260923,26236,1301,21364,1099,bp,x_ns,gate_layer,2400,0.048,0.0009559916317625379,0.04616076518230745,0.04990868305751962,22463,0.44926,0.0022245244543497382,0.4449040759346015,0.45362372009125856,23764
production,hadamard,13,0.052,50000,20260923,25891,1499,21340,1270,bp,x_ns,gate_layer,2769,0.05538,0.0010228690590686571,0.05340915668445358,0.057419157643847106,22610,0.4522,0.0022258264083256808,0.44784129858628385,0.4565660457187243,24109
production,hadamard,13,0.054,50000,20260923,25252,1805,21451,1492,bp,x_ns,gate_layer,3297,0.06594,0.0011098821234707765,0.06379784490406627,0.06814884691668448,22943,0.45886,0.002228486034957365,0.454495574773155,0.46323074624584154,24748
production,hadamard,13,0.056,50000,20260923,25186,1989,21170,1655,bp,x_ns,gate_layer,3644,0.07288,0.0011624844566702815,0.07063423633586337,0.07519138917784225,22825,0.4565,0.002227589504374628,0.45213751304076466,0.46086917058408583,24814
production,hadamard,13,0.058,50000,20260923,24879,2220,21122,1779,bp,x_ns,gate_layer,3999,0.07998,0.0012131215899488393,0.07763446507114663,0.08239006955206613,22901,0.45802,0.0022281727024627152,0.4536562533541791,0.462390196727918,25121
production,hadamard,13,0.06,50000,20260923,24367,2505,20960,2168,bp,x_ns,gate_layer,4673,0.09346,0.0013017313732103103,0.09093979196982167,0.09604267149792013,23128,0.46256,0.0022297903327443145,0.4581927344455427,0.46693301808122517,25633
production,hadamard,13,0.062,50000,20260923,24088,2691,20845,2376,bp,x_ns,gate_layer,5067,0.10134,0.0013495940456300184,0.09872539494873313,0.10401585778420815,23221,0.46442,0.0022303993525824026,0.4600513980350985,0.4687940687090895,25912
production,hadamard,13,0.064,50000,20260923,23819,2999,20657,2525,bp,x_ns,gate_layer,5524,0.11048,0.001401956986501369,0.10776208160610684,0.11325776679738306,23182,0.46364,0.002230147754746308,0.45927195102302726,0.46801363556546843,26181
production,hadamard,13,0.066,50000,20260923,23402,3277,20429,2892,bp,x_ns,gate_layer,6169,0.12338,0.0014707642611921192,0.12052625372560036,0.12629161263741662,23321,0.46642,0.00223101942438877,0.46205002921041083,0.47079513024068065,26598
production,hadamard,15,0.046,50000,20260923,26054,911,22285,750,bp,x_ns,gate_layer,1661,0.03322,0.0008014540735438308,0.031684689514099536,0.03482702962171127,23035,0.4607,0.002229150107103602,0.4563341320111485,0.46507190629819917,23946
production,hadamard,15,0.048,50000,20260923,25850,1046,22195,909,bp,x_ns,gate_layer,1955,0.0391,0.0008668470453315279,0.03743611518686895,0.04083470050723791,23104,0.46208,0.00222962810172459,0.4577130892509602,0.46645273702615087,24150
production,hadamard,15,0.05,50000,20260923,25546,1228,22111,1115,bp,x_ns,gate_layer,2343,0.04686,0.0009451363965058164,0.04504212247551937,0.04874750092137275,23226,0.46452,0.0022304312121202035,0.46015132791643215,0.46889412346310105,24454
production,hadamard,15,0.052,50000,20260923,25121,1480,22069,1330,bp,x_ns,gate_layer,2810,0.0562,0.001029966601400259,0.054215186365989154,0.05825300197214195,23399,0.46798,0.002231478073385441,0.46360901053432424,0.47235590922815196,24879
production,hadamard,15,0.054,50000,20260923,24815,1694,22023,1468,bp,x_ns,gate_layer,3162,0.06324,0.0010884916389205753,0.06113996702205133,0.06540713964437983,23491,0.46982,0.002231990894246659,0.46544786418505296,0.47419677286777434,25185
production,hadamard,15,0.056,50000,20260923,24400,1938,21943,1719,bp,x_ns,gate_layer,3657,0.07314,0.0011643928924551198,0.07089047671437657,0.0754551088512265,23662,0.47324,0.0022328631950927938,0.4688658919684385,0.4776182196131937,25600
production,hadamard,15,0.058,50000,20260923,24158,2253,21581,2008,bp,x_ns,gate_layer,4261,0.08522,0.0012486596942321796,0.08280442329338154,0.0876993062219182,23589,0.47178,0.0022325036689779484,0.4674067087073735,0.47615762719821914,25842
production,hadamard,15,0.06,50000,20260923,23775,2556,21478,2191,bp,x_ns,gate_layer,4747,0.09494,0.0013109263625391014,0.09240165983590957,0.09754057623494077,23669,0.47338,0.0022328966639770863,0.46900581562293847,0.4777582744481769,26225
production,hadamard,15,0.062,50000,20260923,23404,2814,21213,2569,bp,x_ns,gate_layer,5383,0.10766,0.0013861408615288707,0.10497329183841923,0.11040698984833687,23782,0.47564,0.002233412592424427,0.47126463091778836,0.48001911191212787,26596
production,hadamard,15,0.064,50000,20260923,23101,3045,21097,2757,bp,x_ns,gate_layer,5802,0.11604,0.0014323038672013702,0.11326218593288517,0.11887680819579624,23854,0.47708,0.0022337174109542147,0.4727039229278287,0.48145959865105803,26899
production,hadamard,15,0.066,50000,20260923,22928,3312,20640,3120,bp,x_ns,gate_layer,6432,0.12864,0.001497275862358036,0.12573389637481508,0.13160316180735787,23760,0.4752,0.002233315741224245,0.4708248545230015,0.479578955911396,27072
production,y_only,9,0.018,50000,20260923,31085,553,17980,382,bp,x_ns,gate_layer,935,0.0187,0.0006058103663688829,0.01754907856087837,0.019924871522813612,18362,0.36724,0.002155805104363565,0.363025048689725,0.37147534942602584,18915
production,y_only,9,0.02,50000,20260923,30392,718,18323,567,bp,x_ns,gate_layer,1285,0.0257,0.0007076653163749089,0.02434901347327778,0.027123861084576165,18890,0.3778,0.002168258102717479,0.3735598328855199,0.3820589427226811,19608
production,y_only,9,0.022,50000,20260923,29628,972,18622,778,bp,x_ns,gate_layer,1750,0.035,0.0008218880702382777,0.03342451762006119,0.03664692802489366,19400,0.388,0.002179247576573162,0.3837375128452664,0.39227969556814196,20372
production,y_only,9,0.024,50000,20260923,28785,1269,18900,1046,bp,x_ns,gate_layer,2315,0.0463,0.0009397479449299158,0.04449272357327104,0.04817698586568814,19946,0.39892,0.0021898987812225476,0.39463580040145313,0.40321973019164786,21215
production,y_only,9,0.026,50000,20260923,28158,1705,18837,1300,bp,x_ns,gate_layer,3005,0.0601,0.001062901594692566,0.05805035163519038,0.06221723748140239,20137,0.40274,0.002193355841627163,0.39844873201410524,0.4070462116491813,21842
production,y_only,9,0.028,50000,20260923,27571,1960,18924,1545,bp,x_ns,gate_layer,3505,0.0701,0.001141805500074334,0.06789497093786612,0.07237108171324375,20469,0.40938,0.002199036223439714,0.405077089862387,0.41369683358781895,22429
production,y_only,9,0.03,50000,20260923,26641,2479,19031,1849,bp,x_ns,gate_layer,4328,0.08656,0.0012575163330947237,0.08412696511336759,0.08905655851555741,20880,0.4176,0.002205494230325711,0.4132838023877576,0.4219288580878215,23359
production,y_only,9,0.032,50000,20260923,26201,2904,18668,2227,bp,x_ns,gate_layer,5131,0.10262,0.0013571229538991668,0.09999054290663971,0.10531051315871977,20895,0.4179,0.00220571797834628,0.41358334085371573,0.42222927352789874,23799
production,y_only,9,0.034,50000,20260923,25286,3316,18659,2739,bp,x_ns,gate_layer,6055,0.1211,0.0014590050719582848,0.11826947263693073,0.12398874404021633,21398,0.42796,0.002212736940533149,0.42362881269664676,0.43230225600069194,24714
production,y_only,9,0.036,50000,20260923,24605,3709,18594,3092,bp,x_ns,gate_layer,6801,0.13602,0.0015330920363761597,0.13304314227345335,0.13905278199719326,21686,0.43372,0.002216334638992948,0.42938131965301873,0.43806886404020184,25395
production,y_only,9,0.038,50000,20260923,24009,4171,18342,3478,bp,x_ns,gate_layer,7649,0.15298,0.0016098268204996463,0.1498514651939055,0.1561618532312821,21820,0.4364,0.0022179045966858,0.43205803706271545,0.4407517348577557,25991
production,y_only,11,0.018,50000,20260923,29502,454,19689,355,bp,x_ns,gate_layer,809,0.01618,0.0005642376733257006,0.015110701134086184,0.017323636138907486,20044,0.40088,0.0021916898758720404,0.39659213975698226,0.40518308968888417,20498
production,y_only,11,0.02,50000,20260923,28781,625,20125,469,bp,x_ns,gate_layer,1094,0.02188,0.0006542364343263068,0.02063397416451708,0.023199487323151337,20594,0.41188,0.0022010673120102437,0.4075729174075262,0.416200621926309,21219
production,y_only,11,0.022,50000,20260923,28064,930,20284,722,bp,x_ns,gate_layer,1652,0.03304,0.0007993542193545988,0.03150881743142938,0.03464292936076011,21006,0.42012,0.002207347664505979,0.41579997655124196,0.4244522967350353,21936
production,y_only,11,0.024,50000,20260923,27496,1199,20348,957,bp,x_ns,gate_layer,2156,0.04312,0.0009084125230312492,0.04137436563884569,0.04493583239613704,21305,0.4261,0.0022115098462362768,0.421771360369412,0.4304399941105065,22504
production,y_only,11,0.026,50000,20260923,26721,1617,20385,1277,bp,x_ns,gate_layer,2894,0.05788,0.001044317055304566,0.05586693811165518,0.059960992100274786,21662,0.43324,0.0022160464904870565,0.4289019212234143,0.4375883362201495,23279
