panel,status,window,degree,distances,points,parameters,theta_internal,coefficients,p_c,nu,p_c_covariance_se,nu_covariance_se,chi_square,degrees_of_freedom,reduced_chi_square,goodness_of_fit_p,start_objective_range,jacobian_condition,bootstrap_seed,bootstrap_replicates,bootstrap_successes,bootstrap_failures,p_c_standard_error,nu_standard_error,p_c_interval_95,nu_interval_95,reason
y_only/x,success,"[0.022, 0.034]",2,"[9, 11, 13, 15]",28,5,"[2.621390020389936, 1.6114701313964572, 0.059667360721977515, 0.07338653568786398, 0.021334130227907505]","[0.059667360721977515, 1.6572145123083981, 10.879266712717895]",0.026213900203899358,1.6114701313964572,0.0002484473034911119,0.0902430338030439,17.2345295766943,23,0.7493273728997522,0.7975861856455562,3.197442310920451e-14,453.65818066225626,7064666253196532006,1000,1000,0,0.0002503168360359525,0.08975464251732118,"[0.025717478058746895, 0.026680096793113225]","[1.4550069250286104, 1.796147088002193]",
y_only/z,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,No unsaturated crossing for every adjacent distance pair
hadamard/x,success,"[0.05, 0.062]",2,"[9, 11, 13, 15]",28,5,"[5.367549504690508, 1.575067879013075, 0.06254189301323176, 0.03742429243039496, 0.0064484998602033]","[0.06254189301323176, 0.8165454972083279, 3.0698155046034343]",0.05367549504690509,1.575067879013075,0.0005152091363478746,0.17415612601198102,24.978022156223943,23,1.0860009633140846,0.35141952463771947,3.375077994860476e-14,852.7617296107956,5380466477607136838,1000,1000,0,0.000532575831382752,0.1838719748282875,"[0.05258353969411054, 0.054647052093640736]","[1.2988386442062534, 1.987074557625629]",
hadamard/z,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,No unsaturated crossing for every adjacent distance pair
