construction,error_channel,p_min,p_max,degree,distances,points,p_c,p_c_covariance_se,nu,nu_covariance_se,chi_square,degrees_of_freedom,reduced_chi_square,goodness_of_fit_p
as,z_only,0.02,0.032,2,11;13;15,21,0.026659592633481242,0.0003759949032334412,1.63215242508372,0.15452813416226055,15.503081542661421,16,0.9689425964163388,0.488146010571884
as,z_only,0.02,0.032,2,9;11;13,21,0.026596918453100617,0.0003208819778326571,1.468376818000155,0.11758338202914943,15.609897237006805,16,0.9756185773129253,0.4805025234045729
bp,x_only,0.02,0.032,2,11;13;15,21,0.026141154806110723,0.0003420204905970602,1.5045369041910783,0.12746071940922368,15.404170862851956,16,0.9627606789282472,0.49525926621525473
bp,x_only,0.02,0.032,2,9;11;13,21,0.02594783051376145,0.0003443350998241144,1.5951934185800694,0.13488113765009094,11.942727814653113,16,0.7464204884158195,0.7479127932373096
