small_distance,large_distance,estimate,ci_low,ci_high,confidence,valid_bootstrap_fraction,status
6,8,0.09404593639575971,0.09071537267080737,0.0973376620922965,0.95,0.9875,ok
8,10,0.10030303030303031,0.09411409758203802,0.10223171872567685,0.95,0.91,ok
