d,p,shots,logical_failure_count,logical_failure_rate,logical_failure_se,batches,diagnostic_only,seed
6,0.06,100000,2730,0.0273,0.0005153126235597184,100,false,1234
6,0.065,100000,3392,0.03392,0.000572445924083664,100,false,1234
6,0.07,100000,4305,0.04305,0.0006418465353961179,100,false,1234
6,0.075,100000,5190,0.0519,0.0007014726651837546,100,false,1234
6,0.08,100000,6307,0.06307,0.0007687143494172592,100,false,1234
6,0.085,100000,7468,0.07468,0.0008312815263194533,100,false,1234
6,0.09,100000,8612,0.08612,0.0008871490607558574,100,false,1234
6,0.095,100000,9927,0.09927,0.000945597520618577,100,false,1234
6,0.1,100000,11503,0.11503,0.0010089504403091364,100,false,1234
6,0.105,100000,12716,0.12716,0.0010535195033790309,100,false,1234
6,0.11,100000,14297,0.14297,0.0011069307977466343,100,false,1234
6,0.115,100000,15972,0.15972,0.0011584883322675286,100,false,1234
6,0.12,100000,17406,0.17406,0.0011990125787496976,100,false,1234
6,0.125,100000,19070,0.1907,0.0012423103879465873,100,false,1234
6,0.13,100000,20680,0.2068,0.0012807566513588753,100,false,1234
6,0.135,100000,22266,0.22266,0.001315608317091375,100,false,1234
6,0.14,100000,24006,0.24006,0.0013506709310561178,100,false,1234
6,0.145,100000,25432,0.25432,0.0013771032553879174,100,false,1234
6,0.15,100000,26599,0.26599,0.0013972806443231082,100,false,1234
6,0.155,100000,28740,0.2874,0.001431087837975014,100,false,1234
6,0.16,100000,29961,0.29961,0.0014485987984946005,100,false,1234
8,0.06,100000,1943,0.01943,0.00043649140999566075,100,false,1234
8,0.065,100000,2590,0.0259,0.0005022866711351198,100,false,1234
8,0.07,100000,3300,0.033,0.0005648982209212559,100,false,1234
8,0.075,100000,4352,0.04352,0.0006451822192218257,100,false,1234
8,0.08,100000,5543,0.05543,0.0007235849300531349,100,false,1234
8,0.085,100000,6826,0.06826,0.0007974996702193675,100,false,1234
8,0.09,100000,8383,0.08383,0.0008763705329368394,100,false,1234
8,0.095,100000,9981,0.09981,0.0009478816587528213,100,false,1234
8,0.1,100000,11841,0.11841,0.0010217097038787485,100,false,1234
8,0.105,100000,13655,0.13655,0.0010858365323565054,100,false,1234
8,0.11,100000,15729,0.15729,0.0011513029831456184,100,false,1234
8,0.115,100000,17595,0.17595,0.001204124567891545,100,false,1234
8,0.12,100000,19621,0.19621,0.001255832934350744,100,false,1234
8,0.125,100000,21659,0.21659,0.001302608045038875,100,false,1234
8,0.13,100000,23856,0.23856,0.0013477727048727467,100,false,1234
8,0.135,100000,25623,0.25623,0.0013804933433378085,100,false,1234
8,0.14,100000,27469,0.27469,0.0014115077183635943,100,false,1234
8,0.145,100000,29397,0.29397,0.001440665259871286,100,false,1234
8,0.15,100000,31432,0.31432,0.0014680699492871587,100,false,1234
8,0.155,100000,33291,0.33291,0.0014902380075008151,100,false,1234
8,0.16,100000,34610,0.3461,0.0015043762494801624,100,false,1234
10,0.06,100000,1241,0.01241,0.00035008558810668,100,false,1234
10,0.065,100000,1869,0.01869,0.00042826024681261274,100,false,1234
10,0.07,100000,2654,0.02654,0.0005082875996913559,100,false,1234
10,0.075,100000,3727,0.03727,0.0005990070709098516,100,false,1234
10,0.08,100000,4820,0.0482,0.0006773238516396716,100,false,1234
10,0.085,100000,6383,0.06383,0.0007730183122022401,100,false,1234
10,0.09,100000,7993,0.07993,0.0008575616310213511,100,false,1234
10,0.095,100000,9841,0.09841,0.0009419419934369632,100,false,1234
10,0.1,100000,11809,0.11809,0.0010205133605200865,100,false,1234
10,0.105,100000,14151,0.14151,0.001102201977407045,100,false,1234
10,0.11,100000,16376,0.16376,0.0011702250313508082,100,false,1234
10,0.115,100000,18945,0.18945,0.0012391880305264412,100,false,1234
10,0.12,100000,21436,0.21436,0.001297727977659417,100,false,1234
10,0.125,100000,23835,0.23835,0.0013473651231199358,100,false,1234
10,0.13,100000,26041,0.26041,0.001387791886054966,100,false,1234
10,0.135,100000,28457,0.28457,0.0014268493792268333,100,false,1234
10,0.14,100000,30365,0.30365,0.0014541206191372158,100,false,1234
10,0.145,100000,33094,0.33094,0.001488014503961571,100,false,1234
10,0.15,100000,34861,0.34861,0.001506920926591704,100,false,1234
10,0.155,100000,36900,0.369,0.001525906288079317,100,false,1234
10,0.16,100000,38450,0.3845,0.0015383749542943032,100,false,1234
