construction,error_channel,logical_observable,distance,p_x,p_z,shots,master_seed,series_seed,logical_failures,logical_failure_rate,logical_failure_standard_error,logical_state,boundary_orientation,clock
as,x_only,logical_x,9,0.082,0.0,50000,1235,2626298694903912375,24650,0.493,0.0022358488320993438,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.084,0.0,50000,1235,2626298694903912375,24403,0.48806,0.0022354303227790397,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.086,0.0,50000,1235,2626298694903912375,24420,0.4884,0.0022354661258896322,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.088,0.0,50000,1235,2626298694903912375,24567,0.49134,0.0022357325618239765,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.09,0.0,50000,1235,2626298694903912375,24650,0.493,0.0022358488320993438,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.092,0.0,50000,1235,2626298694903912375,24780,0.4956,0.0022359813952714364,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.094,0.0,50000,1235,2626298694903912375,24806,0.49612,0.002236000651162696,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.096,0.0,50000,1235,2626298694903912375,24676,0.49352,0.002235880182836281,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.098,0.0,50000,1235,2626298694903912375,24593,0.49186,0.00223577163592349,plus,x_ns,gate_layer
as,x_only,logical_x,9,0.1,0.0,50000,1235,2626298694903912375,24821,0.49642,0.0022360106600819237,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.0,0.0,50000,1235,2626298694903912375,0,0.0,0.0,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.002,0.0,50000,1235,2626298694903912375,8594,0.17188,0.0016872300708557799,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.004,0.0,50000,1235,2626298694903912375,12994,0.25988,0.001961338245178531,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.006,0.0,50000,1235,2626298694903912375,15349,0.30698,0.002062732554646869,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.008,0.0,50000,1235,2626298694903912375,16650,0.333,0.0021076574674268114,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.01,0.0,50000,1235,2626298694903912375,17755,0.3551,0.002140112099867668,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.012,0.0,50000,1235,2626298694903912375,18512,0.37024,0.0021594552201886475,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.014,0.0,50000,1235,2626298694903912375,19141,0.38282,0.002173793217396724,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.016,0.0,50000,1235,2626298694903912375,19710,0.3942,0.002185435242691945,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.018,0.0,50000,1235,2626298694903912375,20255,0.4051,0.0021954224650394738,plus,x_ns,gate_layer
