small_distance,large_distance,estimate,ci_low,ci_high,confidence,valid_bootstrap_fraction,status
3,5,0.08223333333333335,0.07940367992440037,0.08574952471727267,0.95,0.993,ok
5,7,0.08992443324937029,0.08804504174826477,0.09606080735317274,0.95,0.896,ok
7,9,0.09405579399141631,0.09208018912046341,0.09714763027852649,0.95,0.992,ok
